se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
15.95,1,28.4,293,0.06
5.783333333,0.76,27.9,,0.65
16.21666667,1.1,28.5,532,0.45
6.266666667,0.86,27.7,315,0.18
15.96666667,1.04,28.2,293,0.42
16.25,0.85,27.9,367,0.45
5.733333333,0.96,27.5,313,0.61
14.96666667,0.92,28.6,292,0.77
16.51666667,0.89,28.4,523,0.14
15.76666667,0.85,28.6,299,0.16
7.1,0.84,26.8,309,0.72
15.81666667,1.01,28.8,293,0.37
6.433333333,0.81,27,307,0.52
16.33333333,0.88,28.2,498,0.35
15.8,0.94,28.1,292,0.35
6.083333333,0.71,27.2,311,0.28
5.883333333,0.05,28.2,,0.03
16.08333333,0.24,27.4,368,0.08
15.83333333,0.93,28.4,291,0.39
5.7,0.61,27.2,310,0.41
5.416666667,0.12,28.2,,0.08
16.06666667,0.26,27.5,389,0.11
7.166666667,0.67,27.3,311,0.23
15.71666667,1.05,28.2,292,0.61
5.85,0.11,28.9,,0.05
16,0.33,27.9,391,0.15
7.233333333,0.76,27.3,312,0.49
5.833333333,0.13,28.4,,0.06
15.96666667,0.34,27.6,379,0.09
6.6,0.92,27.8,314,0.58
6.766666667,0.66,28.1,312,0.48
6.783333333,0.68,27.8,311,0.73
6.2,1.01,28.4,310,0.55
6.166666667,1.66,28.5,312,0.34
6.233333333,1.41,28.3,310,1.11
6.433333333,1.37,29.3,312,0.45
6.316666667,0.32,27.7,,0.09
15.95,0.24,27.9,,0.18
6.45,0.31,27.7,,0.08
15.78333333,0.29,27.6,,0.11
6.133333333,0.47,27.9,,0.07
15.75,0.32,27.7,,0.2
6.333333333,0.38,27.6,,0.09
15.71666667,0.35,27.4,,0.21
15.7,0.36,28.1,,0.24
7.383333333,0.75,28.1,307,0.36
6.133333333,0.09,27.1,,0.02
6.966666667,0.69,28.8,311,0.35
6.083333333,0.1,26.9,,0.03
6.583333333,0.51,28.8,309,0.34
6.15,0.1,27.3,,0.06
6.116666667,0.59,28.8,311,0.34
